configuration,weight_origin,repository,code_version,checkpoint_basename,checkpoint_sha256_recorded,digest_note,pretraining,task_training,validation,split_definition,split_manifest_sha256,checkpoint_selection,known_test_exposure,input_preprocessing,output_settings,remaining_unknowns
PraNet,Locally retrained task checkpoint; the released architecture or recipe was reused.,https://github.com/DengPingFan/PraNet,Not available in the reviewed checkpoint-specific records.,PraNet-best_val.pth,0cbfc884e47e024642a44a23d7a9c59370b847a9b5123d6fbbc6e24bce9b657b,"Previously recorded SHA-256, not a new verification of checkpoint bytes. The video evaluation record does not contain its own checkpoint digest.",Not available in the reviewed checkpoint-specific records. Backbone identity alone does not establish which pretrained weights were loaded.,"Reported study protocol: Kvasir-SEG, 720 images; CVC-ClinicDB, 440 images.","Reported study protocol: Kvasir-SEG, 180 images; CVC-ClinicDB, 110 images.",Per-image membership was generated with seed 20260817 and recorded in a frozen manifest. The manifest counts and hash were verified; whether each training loader used these exact members was not independently verified.,0695b3a4e79e819d1dfb8dc68a2c8b353fcf287a3c037892b36f0fc33e29f4c7,The checkpoint name indicates validation selection. The study protocol restricted selection to source validation; the actual selection code and selected epoch were not recovered.,"The recorded task-training protocol names Kvasir-SEG and CVC-ClinicDB, not SUN-SEG. Inference used all four SUN-SEG test partitions. Complete upstream training exposure and the exact training-loader membership were not independently excluded.",Not available in the reviewed checkpoint-specific records. The archived evaluation script calls a model-construction helper whose implementation was not recovered.,"Bilinear resizing to the reference-mask dimensions, align_corners=False; sigmoid; predicted foreground at probability > 0.5 and reference foreground at intensity > 128. Dice is 1 when both masks are empty and 0 when exactly one is empty.","Complete upstream pretraining membership, actual training-code binding, and any fields explicitly marked unavailable. Reported protocol membership is not proof of the execution history."
PVT-CASCADE,Locally retrained task checkpoint; the released architecture or recipe was reused.,https://github.com/SLDGroup/CASCADE,Not available in the reviewed checkpoint-specific records.,PolypPVT-CASCADE.pth,023e3d36f1178b6d7db1d7499040c61b4d59331f15cb91bd91bcb6dd758de974,"Previously recorded SHA-256, not a new verification of checkpoint bytes. The video evaluation record does not contain its own checkpoint digest.",Not available in the reviewed checkpoint-specific records. Backbone identity alone does not establish which pretrained weights were loaded.,"Reported study protocol: Kvasir-SEG, 720 images; CVC-ClinicDB, 440 images.","Reported study protocol: Kvasir-SEG, 180 images; CVC-ClinicDB, 110 images.",Per-image membership was generated with seed 20260817 and recorded in a frozen manifest. The manifest counts and hash were verified; whether each training loader used these exact members was not independently verified.,0695b3a4e79e819d1dfb8dc68a2c8b353fcf287a3c037892b36f0fc33e29f4c7,The study protocol restricted selection to source validation. The actual checkpoint-specific selection rule and selected epoch were not recovered.,"The recorded task-training protocol names Kvasir-SEG and CVC-ClinicDB, not SUN-SEG. Inference used all four SUN-SEG test partitions. Complete upstream training exposure and the exact training-loader membership were not independently excluded.",Not available in the reviewed checkpoint-specific records. The archived evaluation script calls a model-construction helper whose implementation was not recovered.,"Bilinear resizing to the reference-mask dimensions, align_corners=False; sigmoid; predicted foreground at probability > 0.5 and reference foreground at intensity > 128. Dice is 1 when both masks are empty and 0 when exactly one is empty.","Complete upstream pretraining membership, actual training-code binding, and any fields explicitly marked unavailable. Reported protocol membership is not proof of the execution history."
TransNetR,Locally retrained task checkpoint; the released architecture or recipe was reused.,Not available in the reviewed checkpoint-specific records.,Not available in the reviewed checkpoint-specific records.,checkpoint.pth,d673efb9c66360106d0064644e856d55f3f0b882d7527e08770bd80ba1ecb6c9,"Previously recorded SHA-256, not a new verification of checkpoint bytes. The video evaluation record does not contain its own checkpoint digest.",Not available in the reviewed checkpoint-specific records. Backbone identity alone does not establish which pretrained weights were loaded.,"Reported study protocol: Kvasir-SEG, 720 images; CVC-ClinicDB, 440 images.","Reported study protocol: Kvasir-SEG, 180 images; CVC-ClinicDB, 110 images.",Per-image membership was generated with seed 20260817 and recorded in a frozen manifest. The manifest counts and hash were verified; whether each training loader used these exact members was not independently verified.,0695b3a4e79e819d1dfb8dc68a2c8b353fcf287a3c037892b36f0fc33e29f4c7,The study protocol restricted selection to source validation. The actual checkpoint-specific selection rule and selected epoch were not recovered.,"The recorded task-training protocol names Kvasir-SEG and CVC-ClinicDB, not SUN-SEG. Inference used all four SUN-SEG test partitions. Complete upstream training exposure and the exact training-loader membership were not independently excluded.",256 x 256; OpenCV BGR channels; divide by 255; no ImageNet normalization.,"Bilinear resizing to the reference-mask dimensions, align_corners=False; sigmoid; predicted foreground at probability > 0.5 and reference foreground at intensity > 128. Dice is 1 when both masks are empty and 0 when exactly one is empty.","Complete upstream pretraining membership, actual training-code binding, and any fields explicitly marked unavailable. Reported protocol membership is not proof of the execution history."
SANet,Locally retrained task checkpoint; the released architecture or recipe was reused.,https://github.com/weijun-arc/SANet,Not available in the reviewed checkpoint-specific records.,SANet-best_val.pth,3916a884f754f494a41ba072993309199d8073652cecce12f822163ed75d7154,"Previously recorded SHA-256, not a new verification of checkpoint bytes. The video evaluation record does not contain its own checkpoint digest.",Not available in the reviewed checkpoint-specific records. Backbone identity alone does not establish which pretrained weights were loaded.,"Reported study protocol: Kvasir-SEG, 720 images; CVC-ClinicDB, 440 images.","Reported study protocol: Kvasir-SEG, 180 images; CVC-ClinicDB, 110 images.",Per-image membership was generated with seed 20260817 and recorded in a frozen manifest. The manifest counts and hash were verified; whether each training loader used these exact members was not independently verified.,0695b3a4e79e819d1dfb8dc68a2c8b353fcf287a3c037892b36f0fc33e29f4c7,"Best source-validation Dice, reported as 0.9301 after 128 training epochs. The selected epoch was not recovered.","The recorded task-training protocol names Kvasir-SEG and CVC-ClinicDB, not SUN-SEG. Inference used all four SUN-SEG test partitions. Complete upstream training exposure and the exact training-loader membership were not independently excluded.",Not available in the reviewed checkpoint-specific records. The archived evaluation script calls a model-construction helper whose implementation was not recovered.,"Bilinear resizing to the reference-mask dimensions, align_corners=False; sigmoid; predicted foreground at probability > 0.5 and reference foreground at intensity > 128. Dice is 1 when both masks are empty and 0 when exactly one is empty. Upstream test-time logit rescaling was omitted.","Complete upstream pretraining membership, actual training-code binding, and any fields explicitly marked unavailable. Reported protocol membership is not proof of the execution history."
FCBFormer,Locally retrained task checkpoint; the released architecture or recipe was reused.,https://github.com/ESandML/FCBFormer,c353199 (recorded short commit),FCBFormer_P1X.pt,5909e27a089284d7b2e270aa06518d35a2e8d97ed4306b56b68a292acbc976a7,"Previously recorded SHA-256, not a new verification of checkpoint bytes. The video evaluation record does not contain its own checkpoint digest.",PVTv2-B3 initialization; recorded SHA-256 48b51a06db85a1fec0520028592561ffc29ea4e975f2a7f5b7acacbfca03f143. The initializer training-image census was not independently established.,"Reported study protocol: Kvasir-SEG, 720 images; CVC-ClinicDB, 440 images.","Reported study protocol: Kvasir-SEG, 180 images; CVC-ClinicDB, 110 images.",Per-image membership was generated with seed 20260817 and recorded in a frozen manifest. The manifest counts and hash were verified; whether each training loader used these exact members was not independently verified.,0695b3a4e79e819d1dfb8dc68a2c8b353fcf287a3c037892b36f0fc33e29f4c7,"Best source-validation Dice, reported as 0.947586 after 200 epochs; training seed 42.","The recorded task-training protocol names Kvasir-SEG and CVC-ClinicDB, not SUN-SEG. Inference used all four SUN-SEG test partitions. Complete upstream training exposure and the exact training-loader membership were not independently excluded.",352 x 352; PIL antialias resize; channel normalization with mean 0.5 and standard deviation 0.5.,"Bilinear resizing to the reference-mask dimensions, align_corners=False; sigmoid; predicted foreground at probability > 0.5 and reference foreground at intensity > 128. Dice is 1 when both masks are empty and 0 when exactly one is empty. A single logit map was used.","Complete upstream pretraining membership, actual training-code binding, and any fields explicitly marked unavailable. Reported protocol membership is not proof of the execution history."
MEGANet,Locally retrained task checkpoint; the released architecture or recipe was reused.,https://github.com/UARK-AICV/MEGANet,Not available in the reviewed checkpoint-specific records.,MEGANet-best.pth,4114928e31b08f5698c5fb20cad6553349a490ad0236c70fa19c6a48154973d0,"Previously recorded SHA-256, not a new verification of checkpoint bytes. The video evaluation record does not contain its own checkpoint digest.",Not available in the reviewed checkpoint-specific records. Backbone identity alone does not establish which pretrained weights were loaded.,"Reported study protocol: Kvasir-SEG, 720 images; CVC-ClinicDB, 440 images.","Reported study protocol: Kvasir-SEG, 180 images; CVC-ClinicDB, 110 images.",Per-image membership was generated with seed 20260817 and recorded in a frozen manifest. The manifest counts and hash were verified; whether each training loader used these exact members was not independently verified.,0695b3a4e79e819d1dfb8dc68a2c8b353fcf287a3c037892b36f0fc33e29f4c7,The study protocol restricted selection to source validation. The actual checkpoint-specific selection rule and selected epoch were not recovered.,"The recorded task-training protocol names Kvasir-SEG and CVC-ClinicDB, not SUN-SEG. Inference used all four SUN-SEG test partitions. Complete upstream training exposure and the exact training-loader membership were not independently excluded.",Not available in the reviewed checkpoint-specific records. The archived evaluation script calls a model-construction helper whose implementation was not recovered.,"Bilinear resizing to the reference-mask dimensions, align_corners=False; sigmoid; predicted foreground at probability > 0.5 and reference foreground at intensity > 128. Dice is 1 when both masks are empty and 0 when exactly one is empty. Per-image min-max rescaling used by the upstream test recipe was omitted.","Complete upstream pretraining membership, actual training-code binding, and any fields explicitly marked unavailable. Reported protocol membership is not proof of the execution history."
PolypPVT,Locally retrained task checkpoint; the released architecture or recipe was reused.,https://github.com/DengPingFan/Polyp-PVT,cd71fbf9fcd8c32cc0f33699f4e0186073c64dc4,PolypPVT.pth,c558091bc4556e94d517150f5a6cf3fed276036a3aa4bbea5631327adebd3cb1,"Previously recorded SHA-256, not a new verification of checkpoint bytes. The video evaluation record does not contain its own checkpoint digest.",PVTv2-B2 ImageNet initialization is reported; recorded SHA-256 ee1784c0f0a0fbc359455a6cb0796349cd39fce335e7bc20cc7f0a2568849d97.,"Reported study protocol: Kvasir-SEG, 720 images; CVC-ClinicDB, 440 images.","Reported study protocol: Kvasir-SEG, 180 images; CVC-ClinicDB, 110 images.",Per-image membership was generated with seed 20260817 and recorded in a frozen manifest. The manifest counts and hash were verified; whether each training loader used these exact members was not independently verified.,0695b3a4e79e819d1dfb8dc68a2c8b353fcf287a3c037892b36f0fc33e29f4c7,"Best source-validation Dice, reported as 0.9436858621; epoch 89 of 99 executed epochs; training seed 42.","The recorded task-training protocol names Kvasir-SEG and CVC-ClinicDB, not SUN-SEG. Inference used all four SUN-SEG test partitions. Complete upstream training exposure and the exact training-loader membership were not independently excluded.",Not available in the reviewed checkpoint-specific records. The archived evaluation script calls a model-construction helper whose implementation was not recovered.,"Bilinear resizing to the reference-mask dimensions, align_corners=False; sigmoid; predicted foreground at probability > 0.5 and reference foreground at intensity > 128. Dice is 1 when both masks are empty and 0 when exactly one is empty. The two prediction heads were summed.","Complete upstream pretraining membership, actual training-code binding, and any fields explicitly marked unavailable. Reported protocol membership is not proof of the execution history."
CTNet,Locally retrained task checkpoint; the released architecture or recipe was reused.,Not available in the reviewed checkpoint-specific records.,Not available in the reviewed checkpoint-specific records.,best_val.pth,07bbc240ff8ce7da38ba8b2fa2c4895b64af16d7a316a6168d43bca06409424d,"Previously recorded SHA-256, not a new verification of checkpoint bytes. The video evaluation record does not contain its own checkpoint digest.",Not available in the reviewed checkpoint-specific records. Backbone identity alone does not establish which pretrained weights were loaded.,"Reported study protocol: Kvasir-SEG, 720 images; CVC-ClinicDB, 440 images.","Reported study protocol: Kvasir-SEG, 180 images; CVC-ClinicDB, 110 images.",Per-image membership was generated with seed 20260817 and recorded in a frozen manifest. The manifest counts and hash were verified; whether each training loader used these exact members was not independently verified.,0695b3a4e79e819d1dfb8dc68a2c8b353fcf287a3c037892b36f0fc33e29f4c7,The checkpoint name indicates validation selection. The study protocol restricted selection to source validation; the actual selection code and selected epoch were not recovered.,"The recorded task-training protocol names Kvasir-SEG and CVC-ClinicDB, not SUN-SEG. Inference used all four SUN-SEG test partitions. Complete upstream training exposure and the exact training-loader membership were not independently excluded.",Not available in the reviewed checkpoint-specific records. The archived evaluation script calls a model-construction helper whose implementation was not recovered.,"Bilinear resizing to the reference-mask dimensions, align_corners=False; sigmoid; predicted foreground at probability > 0.5 and reference foreground at intensity > 128. Dice is 1 when both masks are empty and 0 when exactly one is empty. Per-image min-max rescaling used by the upstream test recipe was omitted.","Complete upstream pretraining membership, actual training-code binding, and any fields explicitly marked unavailable. Reported protocol membership is not proof of the execution history."
HarD-MSEG,Locally retrained task checkpoint; the released architecture or recipe was reused.,https://github.com/james128333/HarDNet-MSEG,aac1c4b5d2fdbc80bc8fe21a5377af2d202a0348 reference checkout; the actual training checkout was not independently identified,HarD-MSEG-best.pth,e037df8a8db130f2b21407833e1b5538c2f3930ceddd7a258e2905048e8bde24,"Previously recorded SHA-256, not a new verification of checkpoint bytes. The video evaluation record does not contain its own checkpoint digest.",Not available in the reviewed checkpoint-specific records. Backbone identity alone does not establish which pretrained weights were loaded.,"Reported study protocol: Kvasir-SEG, 720 images; CVC-ClinicDB, 440 images.","Reported study protocol: Kvasir-SEG, 180 images; CVC-ClinicDB, 110 images.",Per-image membership was generated with seed 20260817 and recorded in a frozen manifest. The manifest counts and hash were verified; whether each training loader used these exact members was not independently verified.,0695b3a4e79e819d1dfb8dc68a2c8b353fcf287a3c037892b36f0fc33e29f4c7,The study protocol restricted selection to source validation. The actual checkpoint-specific selection rule and selected epoch were not recovered.,"The recorded task-training protocol names Kvasir-SEG and CVC-ClinicDB, not SUN-SEG. Inference used all four SUN-SEG test partitions. Complete upstream training exposure and the exact training-loader membership were not independently excluded.",Not available in the reviewed checkpoint-specific records. The archived evaluation script calls a model-construction helper whose implementation was not recovered.,"Bilinear resizing to the reference-mask dimensions, align_corners=False; sigmoid; predicted foreground at probability > 0.5 and reference foreground at intensity > 128. Dice is 1 when both masks are empty and 0 when exactly one is empty. Per-image min-max rescaling used by the upstream test recipe was omitted.","Complete upstream pretraining membership, actual training-code binding, and any fields explicitly marked unavailable. Reported protocol membership is not proof of the execution history."
BGANet,Locally retrained task checkpoint; the released architecture or recipe was reused.,Not available in the reviewed checkpoint-specific records.,Not available in the reviewed checkpoint-specific records.,model_weight(EPOCH 200).pth.tar,e19fc0f284c934abc1c38e665de4f9dcd9be687656ce04bc62fc5450564038fb,"Previously recorded SHA-256, not a new verification of checkpoint bytes. The video evaluation record does not contain its own checkpoint digest.",Not available in the reviewed checkpoint-specific records. Backbone identity alone does not establish which pretrained weights were loaded.,"Reported study protocol: Kvasir-SEG, 720 images; CVC-ClinicDB, 440 images.","Reported study protocol: Kvasir-SEG, 180 images; CVC-ClinicDB, 110 images.",Per-image membership was generated with seed 20260817 and recorded in a frozen manifest. The manifest counts and hash were verified; whether each training loader used these exact members was not independently verified.,0695b3a4e79e819d1dfb8dc68a2c8b353fcf287a3c037892b36f0fc33e29f4c7,"Final epoch 200, according to the archived training summary and checkpoint name.","The recorded task-training protocol names Kvasir-SEG and CVC-ClinicDB, not SUN-SEG. Inference used all four SUN-SEG test partitions. Complete upstream training exposure and the exact training-loader membership were not independently excluded.",The training configuration names 256 x 256 inputs. The actual inference preprocessing implementation was not recovered.,"Bilinear resizing to the reference-mask dimensions, align_corners=False; sigmoid; predicted foreground at probability > 0.5 and reference foreground at intensity > 128. Dice is 1 when both masks are empty and 0 when exactly one is empty.","Complete upstream pretraining membership, actual training-code binding, and any fields explicitly marked unavailable. Reported protocol membership is not proof of the execution history."
